Subaccount Name,Total Net Assets ($mil),Weighting%
JNL_ClearBridge_Large_Cap_Growth,1417.53,0.0064
JNL_PIMCO_Income,1393.58,0.0063
JNL_PPM_America_High_Yield_Bond,1392.06,0.0063
JNL_American_Funds_New_World,1390.3,0.0063
JNL_Aggressive_Growth_Allocation,1378.83,0.0062
JNL_WMC_Value,1340.45,0.006
JNL_Mellon_Consumer_Discretionary_Sector,1280.71,0.0058
JNL_DFA_US_Core_Equity,1246.5,0.0056
JNL_WMC_Equity_Income,1205.28,0.0054
JNL_Mellon_DowSM_Index,1188.96,0.0053
JNL_Mellon_Financial_Sector,1184.46,0.0053
JNL_PPM_America_Floating_Rate_Income,1183.07,0.0053
JNL_Multi_Manager_Alternative,1059.4,0.0048
JNL_Mellon_Bond_Index,1048.96,0.0047
JNL_JPMorgan_Global_Allocation,1021.91,0.0046
JNL_Morningstar_Wide_Moat_Index,1021.06,0.0046
JNL_Invesco_Diversified_Dividend,1017.32,0.0046
JNL_Lord_Abbett_Short_Duration_Income,1004.91,0.0045
JNL_Multi_Manager_Emerging_Markets_Equity,925.72,0.0042
JNL_PIMCO_Investment_Grade_Credit_Bond,919.31,0.0041
JNL_First_Sentier_Global_Infrastructure,914.41,0.0041
JNL_Vanguard_Moderate_Growth_ETF_Allocation,893.09,0.004
JNL_Goldman_Sachs_Managed_Conservative,857.98,0.0039
JNL_William_Blair_International_Leaders,837.78,0.0038
JNL_Mellon_Emerging_Markets_Index,835.85,0.0038
JNL_American_Funds_Global_Growth,786.85,0.0035
JNL_Baillie_Gifford_International_Growth,778.32,0.0035
JNL_JPMorgan_Hedged_Equity,777.25,0.0035
JNL_Harris_Oakmark_Global_Equity,764.39,0.0034
JNL_GQG_Emerging_Markets_Equity,685.84,0.0031
JNL_Neuberger_Berman_Strategic_Income,677.34,0.003
JNL_WMC_Global_Real_Estate,670.49,0.003
JNL_American_Funds_Global_Small_Capitalization,646.2,0.0029
JNL_Multi_Manager_International_Small_Cap,616.45,0.0028
JNL_Conservative_Allocation,608.05,0.0027
JNL_Loomis_Sayles_Global_Growth,602.87,0.0027
JNL_DoubleLine_Emerging_Markets_Fixed_Income,575.72,0.0026
JNL_Vanguard_Moderate_ETF_Allocation,526.89,0.0024
JNL_Mellon_Utilities_Sector,526.35,0.0024
JNL_Mellon_Consumer_Staples_Sector,514.33,0.0023
JNL_T_Rowe_Price_US_High_Yield,512.03,0.0023
JNL_Lazard_International_Strategic_Equity,473.37,0.0021
JNL_DFA_US_Small_Cap,467.13,0.0021
JNL_T_Rowe_Price_Balanced,458.77,0.0021
JNL_AQR_Large_Cap_Defensive_Style,398.74,0.0018
JNL_Western_Asset_Global_Multi_Sector_Bond,393.46,0.0018
JNL_RAFI_Fundamental_US_Small_Cap,392.63,0.0018
JNL_Mellon_World_Index,368.61,0.0017
JNL_American_Funds_Capital_Income_Builder,362.94,0.0016
JNL_American_Funds_Capital_World_Bond,356.68,0.0016
JNL_Mellon_Communication_Services_Sector,309.14,0.0014
JNL_iShares_Tactical_Moderate_Growth,307.12,0.0014
JNL_iShares_Tactical_Growth,306.93,0.0014
JNL_DFA_International_Core_Equity,262.31,0.0012
JNL_American_Funds_Bond_Fund_of_America,253.81,0.0011
JNL_Morningstar_US_Sustainability_Index,248.92,0.0011
JNL_Heitman_US_Focused_Real_Estate,199.93,0.0009
JNL_iShares_Tactical_Moderate,199.27,0.0009
JNL_Mellon_Industrials_Sector,188.92,0.0009
JNL_Mellon_Real_Estate_Sector,176.92,0.0008
JNL_Westchester_Capital_Event_Driven,122.58,0.0006
